League;Season;Date;Home;Away;FT_Goals_H;FT_Goals_A;FT_Odd_H;FT_Odd_D;FT_Odd_A;FT_Odd_Over25;FT_Result;Profit_Back_H;Profit_Back_D;Profit_Back_A;Profit_Lay_H;Profit_Lay_D;Profit_Lay_A;p_H;p_D;p_A;p_Over;p_H__p_D;p_H__p_A;p_D__p_A;p_D__p_Over;Media_SG_H;Media_SG_A;DesvPad_SG_H;DesvPad_SG_A;CV_SG_H;CV_SG_A;Media_Ptos_H;Media_Ptos_A;DesvPad_Ptos_H;DesvPad_Ptos_A;CV_Ptos_H;CV_Ptos_A;Media_VG_H;Media_VG_A;DesvPad_VG_H;DesvPad_VG_A;CV_VG_H;CV_VG_A;Media_CG_H;Media_CG_A;DesvPad_CG_H;DesvPad_CG_A;CV_CG_H;CV_CG_A;CV_HDA;CV_HD;CV_HA;CV_DA;CV_DO;Media_Odd_H;DesvPad_Odd_H;CV_Odd_H;Media_Odd_A;DesvPad_Odd_A;CV_Odd_A;FT_Odd_HA_DNB_H;FT_Odd_HA_DNB_A;Profit_HA_0_H;Profit_HA_0_A
SCOTLAND - PREMIERSHIP;2020/2021;06/03/2021;St Johnstone;Hibernian;1;0;2,87;3,1;2,55;2,5;H;1,91;-1;-1;-1;0,41;0,55;0,3484;0,3226;0,3922;0,4;1,0801;0,8885;0,8226;0,8065;-0,5;0,5;1,2693;2,1731;-2,5386;4,3461;1;1,7;1,1547;1,4181;1,1547;0,8342;0,1737;0,3688;0,2131;0,3684;1,2269;0,999;0,4143;0,2514;0,136;0,1248;0,3284;0,4963;0,081;0,0385;0,059;0,0973;0,1071;3,846;3,0091;0,7824;4,075;3,526;0,8653;2,02;1,83;1,02;-1
TURKEY - SUPER LIG;2020/2021;27/02/2021;Antalyaspor;Basaksehir;0;0;2,5;3,1;2,9;2,25;D;-1;2,1;-1;0,57;-1;0,45;0,4;0,3226;0,3448;0,4444;1,24;1,16;0,9355;0,7258;-0,4;-0,9;2,319;1,8529;-5,7975;-2,0588;1,3;1;1,2517;1,4142;0,9628;1,4142;0,4284;0,3538;0,3579;0,2795;0,8353;0,7901;0,3207;0,3112;0,1544;0,1086;0,4815;0,3489;0,0915;0,1071;0,0741;0,0333;0,1589;3,142;1,3337;0,4245;2,615;0,9354;0,3577;1,83;2,02;0;0
ROMANIA - LIGA 1;2020/2021;27/02/2021;Academica Clinceni;Astra;1;1;2,62;3,1;2,62;2,4;D;-1;2,1;-1;0,53;-1;0,53;0,3817;0,3226;0,3817;0,4167;1,1832;1;0,8452;0,7742;0,2;0,3;1,6193;2,5841;8,0966;8,6138;1,8;1,5;1,3166;1,354;0,7314;0,9027;0,3896;0,6528;0,3984;0,6095;1,0226;0,9336;0,2558;0,2084;0,1414;0,1127;0,5529;0,5407;0,077;0,0839;0;0,0839;0,1273;3,478;1,2962;0,3727;4,065;2,228;0,5481;1,9;1,9;0;0
ENGLAND - CHAMPIONSHIP;2020/2021;16/02/2021;Luton;Cardiff;0;2;3;3,1;2,55;2,5;A;-1;-1;1,59;0,43;0,41;-1;0,3333;0,3226;0,3922;0,4;1,0333;0,85;0,8226;0,8065;0,1;0;1,7288;1,2472;17,2884;1;1,4;1,4;1,1738;1,4298;0,8384;1,0213;0,4742;0,4437;0,4925;0,2853;1,0385;0,643;0,2619;0,2689;0,1226;0,117;0,4682;0,4352;0,0875;0,0164;0,0811;0,0973;0,1071;3,189;0,9152;0,287;2,75;0,7257;0,2639;2,08;1,82;-1;0,82
ENGLAND - CHAMPIONSHIP;2020/2021;06/02/2021;Preston;Rotherham;1;2;2,6;3,1;2,9;2,2;A;-1;-1;1,94;0,53;0,41;-1;0,3846;0,3226;0,3448;0,4545;1,1923;1,1154;0,9355;0,7097;0;-0,7;1,8257;1,7029;1;-2,4328;1,4;0,7;1,4298;1,2517;1,0213;1,7881;0,3067;0,4709;0,3724;0,5118;1,2143;1,0867;0,3282;0,1869;0,146;0,0655;0,4447;0,3506;0,0732;0,0877;0,0545;0,0333;0,1698;2,443;0,3965;0,1623;4,748;1,1126;0,2343;1,83;2,07;-1;1,07
FRANCE - LIGUE 2;2020/2021;05/02/2021;AC Ajaccio;Auxerre;0;0;2,5;3,1;2,9;2,1;D;-1;2,1;-1;0,57;-1;0,45;0,4;0,3226;0,3448;0,4762;1,24;1,16;0,9355;0,6774;0,2;-0,3;1,8135;1,567;9,0676;-5,2234;1,8;1;1,3166;1,1547;0,7314;1,1547;0,2873;0,4794;0,2929;0,3923;1,0196;0,8183;0,384;0,2778;0,1554;0,1373;0,4047;0,4941;0,0915;0,1071;0,0741;0,0333;0,1923;2,195;0,3547;0,1616;3,057;0,8721;0,2853;1,83;2,02;0;0
COLOMBIA - PRIMERA A;2021;24/01/2021;Jaguares de Cordoba;Bucaramanga;2;1;2,5;3,1;2,9;2,4;H;1,54;-1;-1;-1;0,41;0,45;0,4;0,3226;0,3448;0,4167;1,24;1,16;0,9355;0,7742;0;-0,7;1,6997;1,4181;1;-2,0259;1,2;0,8;1,0328;1,2293;0,8607;1,5366;0,4617;0,2802;0,4821;0,3391;1,0441;1,2102;0,197;0,2579;0,1133;0,1335;0,5752;0,5177;0,0915;0,1071;0,0741;0,0333;0,1273;3,276;1,3844;0,4226;4,095;1,5475;0,3779;1,7;2,1;0,7;-1
EGYPT - PREMIER LEAGUE;2020/2021;24/01/2021;El Gouna;Wadi Degla;2;0;2,6;3,1;2,7;2,5;H;1,65;-1;-1;-1;0,41;0,5;0,3846;0,3226;0,3704;0,4;1,1923;1,0385;0,871;0,8065;0,4;-0,3;1,3499;1,3375;3,3747;-4,4583;1,9;0,7;1,4491;0,9487;0,7627;1,3553;0,4666;0,3206;0,3571;0,4485;0,7654;1,3987;0,3328;0,2735;0,1612;0,1437;0,4845;0,5253;0,0739;0,0877;0,0189;0,069;0,1071;2,628;0,872;0,3318;4,363;2,0114;0,461;1,88;1,93;0,88;-1
ENGLAND - CHAMPIONSHIP;2020/2021;23/01/2021;QPR;Derby;0;1;2,62;3,1;2,75;2,1;A;-1;-1;1,8;0,53;0,41;-1;0,3817;0,3226;0,3636;0,4762;1,1832;1,0496;0,8871;0,6774;-0,4;0;1,075;1,8257;-2,6874;1;1;1,2;1,1547;1,3166;1,1547;1,0971;0,3352;0,3607;0,4402;0,454;1,3135;1,2587;0,2631;0,1904;0,1414;0,0655;0,5375;0,3442;0,0695;0,0839;0,0242;0,0598;0,1923;2,761;0,5773;0,2091;4,068;1,3066;0,3212;1,96;1,94;-1;0,94
CZECH REPUBLIC - 1. LIGA;2020/2021;23/01/2021;Zlin;Ostrava;1;1;3;3,1;2,5;2,4;D;-1;2,1;-1;0,43;-1;0,57;0,3333;0,3226;0,4;0,4167;1,0333;0,8333;0,8065;0,7742;0,2;0,3;1,3984;1,767;6,9921;5,8899;1,6;1,4;1,5055;1,4298;0,941;1,0213;0,3746;0,5829;0,2522;0,4688;0,6731;0,8042;0,3244;0,2409;0,1599;0,1403;0,4929;0,5823;0,0973;0,0164;0,0909;0,1071;0,1273;2,577;1,301;0,5048;3,367;1,828;0,5429;2;1,8;0;0
URUGUAY - PRIMERA DIVISION;2020;17/01/2021;Progreso;Montevideo City;0;0;2,45;3,1;2,7;2,1;D;-1;2,1;-1;0,58;-1;0,5;0,4082;0,3226;0,3704;0,4762;1,2653;1,102;0,871;0,6774;0;0,6;1,2472;1,5776;1;2,6294;1;1,6;1,1547;1,2649;1,1547;0,7906;0,4293;0,7029;0,3548;0,5542;0,8265;0,7884;0,3392;0,2284;0,1449;0,1415;0,4272;0,6194;0,0954;0,1171;0,0485;0,069;0,1923;2,381;0,2998;0,1259;3,264;1,0784;0,3304;1,88;1,93;0;0
BRAZIL - SERIE A;2020;15/01/2021;Palmeiras;Gremio;1;1;2,9;3,1;2,5;2,4;D;-1;2,1;-1;0,45;-1;0,57;0,3448;0,3226;0,4;0,4167;1,069;0,8621;0,8065;0,7742;0,9;0,1;1,912;1,1005;2,1244;11,005;2;1,4;1,3333;1,1738;0,6667;0,8384;0,3603;0,2846;0,2968;0,2957;0,8237;1,039;0,389;0,3306;0,2214;0,1575;0,5691;0,4765;0,0915;0,0333;0,0741;0,1071;0,1273;1,733;0,3921;0,2263;2,682;1,035;0,3859;1,9;1,95;0;0
FRANCE - LIGUE 1;2020/2021;09/01/2021;Reims;St Etienne;3;1;2,62;3,1;2,8;2,3;H;1,66;-1;-1;-1;0,41;0,47;0,3817;0,3226;0,3571;0,4348;1,1832;1,0687;0,9032;0,7419;-0,2;-0,7;1,2293;1,567;-6,1464;-2,2386;1,4;0,9;1,4298;1,1972;1,0213;1,3302;0,2577;0,5377;0,3511;0,5096;1,3623;0,9478;0,339;0,1516;0,1711;0,0883;0,5046;0,5824;0,0685;0,0839;0,0332;0,0508;0,1481;3,392;3,4023;1,003;4,685;2,4819;0,5298;2,02;1,91;1,02;-1
FRANCE - LIGUE 2;2020/2021;08/01/2021;Niort;Amiens;0;2;3;3,1;2,5;2,35;A;-1;-1;1,54;0,43;0,41;-1;0,3333;0,3226;0,4;0,4255;1,0333;0,8333;0,8065;0,7581;0,3;0,1;1,6364;1,1972;5,4546;11,9722;1,6;1,2;1,2649;1,3166;0,7906;1,0971;0,4701;0,4895;0,3886;0,4093;0,8265;0,8362;0,2817;0,2069;0,1362;0,0786;0,4837;0,3797;0,0973;0,0164;0,0909;0,1071;0,1376;2,902;0,5048;0,1739;3,16;1,109;0,351;2,05;1,8;-1;0,8
BRAZIL - SERIE A;2020;06/01/2021;Botafogo RJ;Athletico-PR;0;2;2,5;3,1;2,9;2,15;A;-1;-1;1,94;0,57;0,41;-1;0,4;0,3226;0,3448;0,4651;1,24;1,16;0,9355;0,6935;-0,5;-0,6;0,8498;1,5776;-1,6997;-2,6294;0,7;1;0,9487;1,4142;1,3553;1,4142;0,3056;0,4067;0,3381;0,3777;1,1062;0,9287;0,3298;0,2764;0,134;0,1452;0,4063;0,5254;0,0915;0,1071;0,0741;0,0333;0,181;2,943;1,2458;0,4233;3,87;1,3377;0,3457;1,8;2,05;-1;1,05
TURKEY - SUPER LIG;2020/2021;29/12/2020;Antalyaspor;Hatayspor;0;6;2,62;3,1;2,75;2,25;A;-1;-1;1,8;0,53;0,41;-1;0,3817;0,3226;0,3636;0,4444;1,1832;1,0496;0,8871;0,7258;0,2;-1;1,4757;2,2111;7,3786;-2,2111;1,7;1,1;1,4181;1,3703;0,8342;1,2457;0,4074;0,1837;0,3103;0,2071;0,7616;1,1275;0,3306;0,3366;0,1559;0,0623;0,4716;0,1851;0,0695;0,0839;0,0242;0,0598;0,1589;3,035;1,3058;0,4302;2,978;1,1873;0,3987;1,9;1,95;-1;0,95
ITALY - SERIE B;2020/2021;19/12/2020;Venezia;Spal;0;0;2,6;3,1;2,8;2,07;D;-1;2,1;-1;0,53;-1;0,47;0,3846;0,3226;0,3571;0,4831;1,1923;1,0769;0,9032;0,6677;0,5;-1;2,0138;1,4907;4,0277;-1,4907;1,9;0,8;1,4491;1,2293;0,7627;1,5366;0,4032;0,2426;0,3866;0,2913;0,9589;1,2007;0,2805;0,3093;0,1364;0,1173;0,4863;0,3791;0,0715;0,0877;0,037;0,0508;0,1992;2,48;0,4606;0,1857;3,667;1,2373;0,3374;1,85;2;0;0
COLOMBIA - PRIMERA A;2020;06/12/2020;America De Cali;Junior;0;0;2,6;3,1;2,8;2,87;D;-1;2,1;-1;0,53;-1;0,47;0,3846;0,3226;0,3571;0,3484;1,1923;1,0769;0,9032;0,9258;0,6;0,3;1,5776;1,4181;2,6294;4,7271;1,9;1,4;1,4491;1,1738;0,7627;0,8384;0,3735;0,4176;0,2112;0,3425;0,5655;0,8201;0,349;0,2379;0,1737;0,0852;0,4977;0,3581;0,0715;0,0877;0,037;0,0508;0,0385;1,939;0,3713;0,1915;2,881;0,9319;0,3235;1,93;1,88;0;0
ENGLAND - CHAMPIONSHIP;2020/2021;29/11/2020;Nottingham;Swansea;0;1;2,9;3,1;2,55;2,5;A;-1;-1;1,59;0,45;0,41;-1;0,3448;0,3226;0,3922;0,4;1,069;0,8793;0,8226;0,8065;-0,3;0,5;1,4944;1,5092;-4,9814;3,0185;1,2;1,6;1,3166;1,2649;1,0971;0,7906;0,2892;0,5701;0,2124;0,3427;0,7347;0,6012;0,4008;0,2493;0,1411;0,1167;0,352;0,4682;0,0821;0,0333;0,0642;0,0973;0,1071;2,193;0,4014;0,183;3,14;1,2385;0,3944;1,98;1,92;-1;0,92
ENGLAND - CHAMPIONSHIP;2020/2021;21/11/2020;Middlesbrough;Norwich;0;1;2,87;3,1;2,62;2,3;A;-1;-1;1,66;0,46;0,41;-1;0,3484;0,3226;0,3817;0,4348;1,0801;0,9129;0,8452;0,7419;-0,4;-0,9;1,5776;2,1833;-3,9441;-2,4259;1,2;1;1,3166;1,4142;1,0971;1,4142;0,3251;0,2893;0,2619;0,3563;0,8054;1,2315;0,3147;0,2705;0,1163;0,1187;0,3697;0,4387;0,0689;0,0385;0,0455;0,0839;0,1481;2,495;0,4412;0,1769;8,762;12,1642;1,3883;2;1,9;-1;0,9
ROMANIA - LIGA 2;2020/2021;21/11/2020;Politehnica Timisoara;Petrolul;1;0;2,6;3,1;2,7;2,4;H;1,65;-1;-1;-1;0,41;0,5;0,3846;0,3226;0,3704;0,4167;1,1923;1,0385;0,871;0,7742;0,8;0,5;0,7888;1,7159;0,986;3,4319;2,2;1,9;1,0328;1,1972;0,4695;0,6301;0,2508;0,5034;0,225;0,4725;0,8973;0,9386;0,4546;0,3085;0,2127;0,199;0,4678;0,6452;0,0739;0,0877;0,0189;0,069;0,1273;2,218;0,9483;0,4276;2,651;1,3877;0,5235;1,88;1,93;0,88;-1
ENGLAND - LEAGUE ONE;2020/2021;03/11/2020;Charlton;Fleetwood;3;2;2,55;3,1;2,9;2,3;H;1,59;-1;-1;-1;0,41;0,45;0,3922;0,3226;0,3448;0,4348;1,2157;1,1373;0,9355;0,7419;0,1;0,2;1,3703;1,0328;13,7032;5,164;1,4;1,5;1,4298;1,354;1,0213;0,9027;0,3655;0,4753;0,3784;0,2677;1,0352;0,5634;0,2811;0,2894;0,1435;0,119;0,5106;0,4111;0,0821;0,0973;0,0642;0,0333;0,1481;2,872;0,5726;0,1994;2,792;0,7629;0,2732;1,88;1,98;0,88;-1
BRAZIL - SERIE B;2020;24/10/2020;Sampaio Correa;Cuiaba;3;0;2,55;3,1;2,87;2,2;H;1,59;-1;-1;-1;0,41;0,46;0,3922;0,3226;0,3484;0,4545;1,2157;1,1255;0,9258;0,7097;0,3;0,1;1,567;1,1005;5,2234;11,005;1,6;1,4;1,5055;1,1738;0,941;0,8384;0,4009;0,3601;0,2615;0,293;0,6523;0,8135;0,3138;0,3035;0,1303;0,1113;0,4153;0,3668;0,081;0,0973;0,059;0,0385;0,1698;2,741;0,9529;0,3476;3,205;1,4404;0,4494;1,88;1,98;0,88;-1
ROMANIA - LIGA 1;2020/2021;04/10/2020;Gaz Metan Medias;FC Hermannstadt;1;1;2,7;3,1;2,7;2,3;D;-1;2,1;-1;0,5;-1;0,5;0,3704;0,3226;0,3704;0,4348;1,1481;1;0,871;0,7419;-0,6;0;1,7764;1,633;-2,9606;1;1,1;1,5;1,3703;1,354;1,2457;0,9027;0,2399;0,5304;0,2859;0,4271;1,1917;0,8053;0,3165;0,2454;0,1628;0,1122;0,5143;0,457;0,0636;0,069;0;0,069;0,1481;3,755;1,6732;0,4456;3,697;1,7595;0,4759;1,9;1,9;0;0
JAPAN - J2 LEAGUE;2020;30/09/2020;Kofu;Verdy;0;0;2,62;3,1;2,75;2,15;D;-1;2,1;-1;0,53;-1;0,49;0,3817;0,3226;0,3636;0,4651;1,1832;1,0496;0,8871;0,6935;0,6;0,3;0,8433;1,1595;1,4055;3,865;2,1;1,5;1,1972;1,354;0,5701;0,9027;0,4575;0,4915;0,3585;0,4518;0,7836;0,9191;0,3057;0,2694;0,1486;0,1599;0,4859;0,5934;0,0695;0,0839;0,0242;0,0598;0,181;2,554;0,4582;0,1794;3,075;0,7576;0,2464;1,93;1,93;0;0
BRAZIL - SERIE A;2020;23/09/2020;Sport Recife;Corinthians;1;0;2,62;3,1;2,75;2,7;H;1,66;-1;-1;-1;0,41;0,49;0,3817;0,3226;0,3636;0,3704;1,1832;1,0496;0,8871;0,871;0,6;-0,6;0,9661;1,1738;1,6102;-1,9563;2,2;0,8;1,3166;1,2293;0,5984;1,5366;0,3135;0,4924;0,3514;0,3128;1,1209;0,6354;0,3386;0,2085;0,1646;0,069;0,486;0,3308;0,0695;0,0839;0,0242;0,0598;0,069;2,083;0,6057;0,2908;4,458;1,8575;0,4167;1,93;1,93;0,93;-1
ENGLAND - LEAGUE TWO;2020/2021;19/09/2020;Exeter;Port Vale;0;2;2,5;3,1;3;2,15;A;-1;-1;2,04;0,57;0,41;-1;0,4;0,3226;0,3333;0,4651;1,24;1,2;0,9677;0,6935;0,6;-0,2;2,0656;1,2293;3,4427;-6,1464;1,9;1,3;1,1972;1,2517;0,6301;0,9628;0,3874;0,4921;0,3402;0,5057;0,8782;1,0276;0,3341;0,2505;0,188;0,1293;0,5626;0,516;0,0973;0,1071;0,0909;0,0164;0,181;1,972;0,3808;0,1931;3,42;0,7166;0,2095;1,7;2,1;-1;1,1
ENGLAND - CHAMPIONSHIP;2020/2021;19/09/2020;Rotherham;Millwall;0;1;3;3,1;2,5;2,3;A;-1;-1;1,54;0,43;0,41;-1;0,3333;0,3226;0,4;0,4348;1,0333;0,8333;0,8065;0,7419;1;0,3;1,4907;1,2517;1,4907;4,1722;2,1;1,5;1,1972;1,354;0,5701;0,9027;0,4069;0,4303;0,311;0,5056;0,7642;1,1752;0,3408;0,2517;0,181;0,1573;0,5309;0,6251;0,0973;0,0164;0,0909;0,1071;0,1481;1,786;0,365;0,2044;3,272;1,3285;0,406;2,07;1,72;-1;0,72
FRANCE - LIGUE 2;2020/2021;12/09/2020;Auxerre;Clermont;0;1;2,6;3,1;2,8;2,5;A;-1;-1;1,84;0,53;0,41;-1;0,3846;0,3226;0,3571;0,4;1,1923;1,0769;0,9032;0,8065;0;0,4;1,0541;0,5164;1;1,291;1,2;1,8;1,0328;1,0328;0,8607;0,5738;0,1877;0,4033;0,2191;0,2851;1,1673;0,7068;0,345;0,2834;0,16;0,121;0,4639;0,427;0,0715;0,0877;0,037;0,0508;0,1071;2,093;0,3826;0,1828;3,232;1,1543;0,3571;1,83;2,02;-1;1,02
ENGLAND - CHAMPIONSHIP;2020/2021;12/09/2020;Millwall;Stoke;0;0;2,5;3,1;3;2,5;D;-1;2,1;-1;0,57;-1;0,43;0,4;0,3226;0,3333;0,4;1,24;1,2;0,9677;0,8065;0,1;-1;1,5951;2,4495;15,9513;-2,4495;1,3;1;1,2517;1,1547;0,9628;1,1547;0,3648;0,4098;0,3553;0,5583;0,974;1,3625;0,316;0,2847;0,1448;0,1399;0,4583;0,4915;0,0973;0,1071;0,0909;0,0164;0,1071;2,397;0,4015;0,1675;3,489;1,8268;0,5236;1,78;2,13;0;0
HUNGARY - OTP BANK LIGA;2020/2021;30/08/2020;Puskas Academy;Ujpest;3;2;2,45;3,1;2,62;2,15;H;1,5;-1;-1;-1;0,41;0,53;0,4082;0,3226;0,3817;0,4651;1,2653;1,0694;0,8452;0,6935;0,2;-0,6;1,4757;1,4298;7,3786;-2,3831;1,6;0,9;1,2649;1,1972;0,7906;1,3302;0,3319;0,4013;0,2357;0,4396;0,7102;1,0956;0,3376;0,2956;0,1203;0,1839;0,3563;0,6221;0,0965;0,1171;0,0335;0,0839;0,181;1,932;0,6297;0,3259;2,982;0,837;0,2807;3,2;1,37;2,2;-1
SWEDEN - SUPERETTAN;2020;03/07/2020;Trelleborg;Sundsvall;1;1;2,75;3,1;2,62;2,1;D;-1;2,1;-1;0,49;-1;0,53;0,3636;0,3226;0,3817;0,4762;1,1273;0,9527;0,8452;0,6774;-0,5;-0,6;1,1785;1,4298;-2,357;-2,3831;0,9;0,8;1,1972;1,2293;1,3302;1,5366;0,3398;0,4106;0,3695;0,3781;1,0873;0,9209;0,3296;0,194;0,1708;0,0666;0,5181;0,3436;0,0695;0,0598;0,0242;0,0839;0,1923;2,665;0,5432;0,2038;4,737;2,7951;0,5901;1,88;1,98;0;0
CZECH REPUBLIC - 1. LIGA;2020/2021;22/08/2020;Sigma Olomouc;Liberec;1;0;2,7;3,1;2,7;2,15;H;1,74;-1;-1;-1;0,41;0,5;0,3704;0,3226;0,3704;0,4651;1,1481;1;0,871;0,6935;0,1;-1;0,9944;2;9,9443;-2;1,3;1;1,2517;1,4142;0,9628;1,4142;0,3422;0,4002;0,3403;0,4134;0,9946;1,033;0,3626;0,3084;0,191;0,1799;0,5269;0,5835;0,0636;0,069;0;0,069;0,181;3,466;2,2717;0,6554;4,38;3,0469;0,6956;1,88;1,93;0,88;-1
URUGUAY - PRIMERA DIVISION;2020;20/08/2020;Cerro Largo;Liverpool M.;4;3;2,55;3,1;2,6;2,15;H;1,59;-1;-1;-1;0,41;0,53;0,3922;0,3226;0,3846;0,4651;1,2157;1,0196;0,8387;0,6935;0,4;0,2;1,9551;1,4757;4,8876;7,3786;1,8;1,6;1,3166;1,2649;0,7314;0,7906;0,3785;0,4187;0,3364;0,2503;0,8889;0,5978;0,3818;0,3044;0,1537;0,0875;0,4025;0,2876;0,0851;0,0973;0,0097;0,0877;0,181;1,99;0,3256;0,1636;2,494;0,6145;0,2464;2;1,8;1;-1
BRAZIL - SERIE A;2020;16/08/2020;Bahia;Bragantino;2;1;2,87;3,1;2,5;2,15;H;1,91;-1;-1;-1;0,41;0,57;0,3484;0,3226;0,4;0,4651;1,0801;0,8711;0,8065;0,6935;0;0,4;0,9428;1,8379;1;4,5947;1,1;1,5;1,1005;1,354;1,0005;0,9027;0,2865;0,39;0,1891;0,369;0,66;0,9461;0,4383;0,2757;0,1701;0,1298;0,388;0,4708;0,0901;0,0385;0,0689;0,1071;0,181;2,277;1,0161;0,4462;2,593;1,0896;0,4202;2,05;1,8;1,05;-1
JAPAN - J2 LEAGUE;2020;12/08/2020;Omiya Ardija;Iwata;2;2;2,7;3,1;2,7;2,35;D;-1;2,1;-1;0,5;-1;0,5;0,3704;0,3226;0,3704;0,4255;1,1481;1;0,871;0,7581;1;-0,4;1,633;1,5055;1,633;-3,7639;2,2;1,4;1,3166;1,4298;0,5984;1,0213;0,4449;0,4948;0,2984;0,3864;0,6706;0,781;0,3355;0,2058;0,1765;0,063;0,5261;0,306;0,0636;0,069;0;0,069;0,1376;1,994;0,503;0,2523;3,452;1,6439;0,4762;1,95;1,9;0;0
SWEDEN - ALLSVENSKAN;2020;26/07/2020;AIK;Djurgarden;0;1;2,9;3,1;2,5;2,3;A;-1;-1;1,54;0,45;0,41;-1;0,3448;0,3226;0,4;0,4348;1,069;0,8621;0,8065;0,7419;0,4;0,2;1,5055;1,7512;3,7639;8,756;2;1,6;1,3333;1,5055;0,6667;0,941;0,3595;0,2933;0,24;0,2985;0,6678;1,0178;0,4084;0,2984;0,1523;0,1428;0,373;0,4784;0,0915;0,0333;0,0741;0,1071;0,1481;2,11;0,742;0,3517;2,444;0,9956;0,4074;2,08;1,82;-1;0,82
ENGLAND - LEAGUE ONE;2022/2023;14/01/2023;Burton;Shrewsbury;0;4;2,55;3,2;3;2,2;A;-1;-1;2,04;0,55;0,39;-1;0,3922;0,3125;0,3333;0,4545;1,2549;1,1765;0,9375;0,6875;0;-0,2;1,4907;1,2293;1;-6,1464;1,3;1,1;1,2517;1,3703;0,9628;1,2457;0,4566;0,4121;0,4273;0,2697;0,9357;0,6543;0,2793;0,281;0,1719;0,088;0,6155;0,3132;0,0975;0,113;0,0811;0,0323;0,1852;2,582;0,7772;0,301;3,548;1,3328;0,3756;1,77;2,1;-1;1,1
MEXICO - LIGA MX;2022/2023;13/01/2023;Atl. San Luis;Guadalajara Chivas;0;0;2,7;3,2;2,63;2,15;D;-1;2,2;-1;0,5;-1;0,52;0,3704;0,3125;0,3802;0,4651;1,1852;0,9741;0,8219;0,6719;-0,5;0,2;1,1785;1,5492;-2,357;7,746;0,9;1,2;1,1972;1,3166;1,3302;1,0971;0,3498;0,5397;0,3821;0,346;1,0925;0,6411;0,2962;0,2588;0,1385;0,0983;0,4677;0,3799;0,0843;0,0847;0,0131;0,0978;0,1963;2,827;0,5956;0,2107;3,085;0,8447;0,2738;1,98;1,88;0;0
SPAIN - LALIGA;2022/2023;07/01/2023;Espanyol;Girona;2;2;2,6;3,2;2,8;2,2;D;-1;2,2;-1;0,53;-1;0,47;0,3846;0,3125;0,3571;0,4545;1,2308;1,0769;0,875;0,6875;-0,6;0,1;0,9661;1,1972;-1,6102;11,9722;0,7;1,2;0,9487;1,3166;1,3553;1,0971;0,3445;0,5928;0,2921;0,3714;0,8479;0,6265;0,3077;0,1717;0,1281;0,0624;0,4165;0,3634;0,0846;0,1034;0,037;0,0667;0,1852;2,754;1,1142;0,4046;4,555;2,9577;0,6493;1,88;2,05;0;0
SCOTLAND - PREMIERSHIP;2022/2023;28/12/2022;Livingston;St. Mirren;1;1;2,8;3,2;2,63;2,2;D;-1;2,2;-1;0,47;-1;0,52;0,3571;0,3125;0,3802;0,4545;1,1429;0,9393;0,8219;0,6875;0,1;-1,1;1,3703;2,2828;13,7032;-2,0753;1,9;1;1,4491;1,4142;0,7627;1,4142;0,4055;0,4075;0,2978;0,436;0,7343;1,0698;0,3079;0,2316;0,1533;0,1041;0,498;0,4495;0,0803;0,0667;0,0313;0,0978;0,1852;3,832;3,1149;0,8129;4,589;3,7599;0,8193;2,02;1,83;0;0
SCOTLAND - PREMIERSHIP;2022/2023;24/12/2022;St. Mirren;Aberdeen;3;1;2,63;3,25;2,7;2,3;H;1,67;-1;-1;-1;0,38;0,5;0,3802;0,3077;0,3704;0,4348;1,2357;1,0266;0,8308;0,7077;0,5;-1,1;0,8498;1,6633;1,6997;-1,5121;1,9;0,8;1,1972;1,2293;0,6301;1,5366;0,4674;0,3309;0,475;0,2838;1,0164;0,8574;0,2279;0,318;0,1183;0,1237;0,5193;0,389;0,0911;0,1054;0,0131;0,0924;0,1712;3,842;3,3148;0,8628;4,162;3,4218;0,8221;1,85;2;0,85;-1
ENGLAND - CHAMPIONSHIP;2022/2023;17/12/2022;Hull;Sunderland;1;1;2,63;3,2;2,88;2,2;D;-1;2,2;-1;0,52;-1;0,46;0,3802;0,3125;0,3472;0,4545;1,2167;1,0951;0,9;0,6875;-1;0,2;1,4907;1,5492;-1,4907;7,746;0,9;1,4;1,4491;1,4298;1,6102;1,0213;0,3685;0,5966;0,4751;0,4049;1,2892;0,6787;0,2403;0,1987;0,133;0,0667;0,5533;0,3357;0,0798;0,0978;0,0454;0,0526;0,1852;2,982;0,6382;0,214;3,62;0,6188;0,1709;1,85;2,05;0;0
ENGLAND - CHAMPIONSHIP;2022/2023;08/11/2022;Birmingham;Swansea;2;2;2,8;3,2;2,62;2,37;D;-1;2,2;-1;0,47;-1;0,53;0,3571;0,3125;0,3817;0,4219;1,1429;0,9357;0,8188;0,7406;0,5;-0,7;1,4337;1,8886;2,8674;-2,6979;1,5;1,2;1,354;1,3166;0,9027;1,0971;0,4736;0,5895;0,3321;0,5367;0,7012;0,9103;0,274;0,233;0,1312;0,122;0,4787;0,5237;0,0817;0,0667;0,0332;0,0997;0,149;2,52;0,9057;0,3594;4,195;1,4359;0,3423;2;1,9;0;0
